id;tipo;descricao
1;SBC_CompetenciaGeralEgresso;Identificar problemas que tenham solução algorítmica
2;SBC_CompetenciaGeralEgresso;Conhecer os limites da computação
3;SBC_CompetenciaGeralEgresso;Resolver problemas usando ambientes de programação
4;SBC_CompetenciaGeralEgresso;Tomar decisões e inovar, com base no conhecimento do funcionamento e das características técnicas de hardware e da infraestrutura de software dos sistemas de computação consciente dos aspectos éticos, legais e dos impactos ambientais decorrentes
5;SBC_CompetenciaGeralEgresso;Compreender e explicar as dimensões quantitativas de um problema
6;SBC_CompetenciaGeralEgresso;Gerir a sua própria aprendizagem e desenvolvimento, incluindo a gestão de tempo e competências organizacionais
7;SBC_CompetenciaGeralEgresso;Preparar e apresentar seus trabalhos e problemas técnicos e suas soluções para audiências diversas, em formatos apropriados (oral e escrito)
8;SBC_CompetenciaGeralEgresso;Avaliar criticamente projetos de sistemas de computação
9;SBC_CompetenciaGeralEgresso;Adequar-se rapidamente às mudanças tecnológicas e aos novos ambientes de trabalho
10;SBC_CompetenciaGeralEgresso;Ler textos técnicos na língua inglesa
11;SBC_CompetenciaGeralEgresso;Empreender e exercer liderança, coordenação e supervisão na sua área de atuação profissional
12;SBC_CompetenciaGeralEgresso;Ser capaz de realizar trabalho cooperativo e entender a força que dele pode ser derivada
